"","Gender","Age","Edu","Marriage","Group","SCD","RD","POS","LS"
"Gender",1,-0.153467140959232,-0.0317770198787009,0.0217539204040003,0.023374020688237,0.0700761052399904,-0.0049015193115621,-0.137060398341696,-0.0229002584258158
"Age",-0.153467140959232,1,-0.225615443677084,0.489941965651969,-0.110377706341669,-0.0905465966748842,-0.0199563372253196,0.155713074302832,0.112255250513733
"Edu",-0.0317770198787009,-0.225615443677084,1,-0.0145164145535387,0.0410039396915079,-0.00960234786692933,-0.0775393872806173,0.0893804937652737,0.088647003201069
"Marriage",0.0217539204040003,0.489941965651969,-0.0145164145535387,1,-0.150369602316922,-0.0902530909331048,-0.000389922506139366,0.0909867640099478,0.143369341536987
"Group",0.023374020688237,-0.110377706341669,0.0410039396915079,-0.150369602316922,1,0.713950172741593,0.0797974582652414,-0.11282703420742,-0.0239074080004073
"SCD",0.0700761052399904,-0.0905465966748842,-0.00960234786692933,-0.0902530909331048,0.713950172741593,1,0.333033656642682,-0.187947363992968,-0.145184442640868
"RD",-0.0049015193115621,-0.0199563372253196,-0.0775393872806173,-0.000389922506139366,0.0797974582652414,0.333033656642682,1,-0.348166510493014,-0.584870363924567
"POS",-0.137060398341696,0.155713074302832,0.0893804937652737,0.0909867640099478,-0.11282703420742,-0.187947363992968,-0.348166510493014,1,0.521419682505953
"LS",-0.0229002584258158,0.112255250513733,0.088647003201069,0.143369341536987,-0.0239074080004073,-0.145184442640868,-0.584870363924567,0.521419682505953,1
