"","Gender","Age","Edu","Marriage","ASC","OSC","RD","POS"
"Gender",1,-0.141790436777528,-0.0923881170846126,-0.0539077320966153,-0.0782515835855457,-0.154905757152628,-0.0604402531919745,-0.0521030031515883
"Age",-0.141790436777528,1,-0.165866388843939,0.552002654862941,-0.0402467204579686,-0.0830164720636832,-0.0759088914335919,0.128613676553155
"Edu",-0.0923881170846126,-0.165866388843939,1,-0.0250356728687457,-0.0356434881874727,-0.000114089507439534,-0.00390174564306896,0.116702650844653
"Marriage",-0.0539077320966153,0.552002654862941,-0.0250356728687457,1,0.0678259205375349,0.0667162254425558,-0.101357476070857,0.132450580050023
"ASC",-0.0782515835855457,-0.0402467204579686,-0.0356434881874727,0.0678259205375349,1,0.781787374682682,0.543507002519276,0.445368395296431
"OSC",-0.154905757152628,-0.0830164720636832,-0.000114089507439534,0.0667162254425558,0.781787374682682,1,0.527094118331051,0.430317769884292
"RD",-0.0604402531919745,-0.0759088914335919,-0.00390174564306896,-0.101357476070857,0.543507002519276,0.527094118331051,1,0.371188147364298
"POS",-0.0521030031515883,0.128613676553155,0.116702650844653,0.132450580050023,0.445368395296431,0.430317769884292,0.371188147364298,1
