index,totalseconds,Gender,Age,Edu,Marriage,ASC1,ASC2,ASC3,ASC4,ASC5,T1,OSC1,OSC2,OSC3,OSC4,OSC5,OSC6,RD1,RD2,RD3,RD4,RD5,T2,POS1,POS2,POS3,POS4,POS5,LS1,LS2,LS3,LS4,LS5,DI1,DI2,DI3,T3,DC1,DC2,DC3,UI1,UI2,UI3,UC1,UC2,UC3,SCD,USC,DSC,totalvalue
128,215,1,32,4,2,4,5,5,4,4,7,5,5,6,6,5,4,5,3,3,4,4,1,3,3,4,4,3,3,4,3,3,2,5,5,6,7,3,4,4,5,6,5,5,4,5,6,6,2,190
129,3925,1,23,4,1,2,6,5,6,2,7,6,7,6,7,6,7,2,2,2,4,2,1,2,4,4,2,2,7,6,7,6,6,2,2,1,7,6,6,6,6,7,6,2,2,1,7,6,2,195
131,9521,1,21,4,1,7,6,6,7,2,7,7,6,7,6,7,6,2,3,2,2,2,1,2,2,2,2,3,7,6,6,7,6,2,2,2,7,6,7,6,6,6,7,2,2,1,7,6,2,200
132,10370,1,23,4,1,7,6,7,6,2,7,7,6,7,6,6,6,3,2,1,4,2,1,2,1,3,3,2,7,6,7,7,6,2,1,2,7,6,6,7,6,6,7,2,2,2,7,6,2,201
133,206,1,29,4,1,7,6,4,3,6,7,4,5,6,7,4,2,5,3,1,3,4,1,6,3,2,1,3,6,5,4,7,3,5,6,5,7,4,6,4,5,7,6,1,2,3,6,4,5,194
135,213,1,40,3,2,4,5,6,4,5,7,3,4,5,3,4,6,4,2,3,4,5,1,2,3,4,2,1,5,4,6,5,4,5,3,4,7,5,4,3,5,4,6,3,4,5,3,4,2,178
136,207,1,32,4,2,4,5,4,6,7,7,6,2,3,6,3,6,3,1,1,2,3,1,4,4,5,1,2,5,5,7,3,1,7,3,6,7,1,5,2,5,6,4,2,2,3,5,3,4,172
137,208,2,32,4,2,6,5,6,5,3,7,6,5,4,5,6,3,6,4,3,3,2,1,3,2,3,3,3,5,6,5,6,5,5,6,5,7,3,3,3,5,5,6,3,3,4,6,5,3,193
139,291,1,28,4,2,4,6,4,6,5,7,4,1,7,6,4,2,6,2,1,2,3,1,1,3,2,4,3,3,4,3,4,1,5,6,7,7,3,3,2,4,3,1,4,5,7,4,3,2,165
140,191,2,21,3,1,5,4,6,3,4,7,5,7,5,7,3,5,4,3,2,6,2,1,2,2,2,3,3,5,5,4,5,2,3,1,5,7,5,6,6,4,4,4,6,6,6,5,6,3,189
141,251,2,25,4,2,6,7,6,6,3,7,5,3,4,5,6,5,7,3,4,5,2,1,3,1,3,4,3,5,4,2,1,1,6,4,6,7,6,6,7,7,4,2,3,6,5,6,5,4,196
144,209,2,30,4,1,5,6,7,5,1,7,5,6,5,6,7,2,4,4,2,2,3,1,3,2,4,3,1,4,3,5,4,3,5,6,6,7,3,4,4,5,6,5,3,2,2,6,4,2,180
145,325,2,34,4,2,5,6,5,6,4,7,5,6,2,4,5,6,5,6,4,6,2,1,5,6,4,5,4,6,5,6,5,6,3,5,6,7,4,3,5,6,7,5,6,5,6,6,4,3,218
146,302,2,29,4,2,3,6,3,2,7,7,4,5,6,6,7,5,2,3,1,3,2,1,1,3,3,2,3,6,5,7,6,4,3,3,4,7,1,1,2,6,7,5,3,3,4,7,4,1,174
148,189,2,33,4,2,7,3,5,6,4,7,4,2,3,6,5,4,6,2,3,7,5,1,4,7,5,2,3,7,4,2,4,3,2,4,7,7,5,3,2,4,6,5,3,5,4,5,6,3,192
149,373,1,28,4,2,5,5,6,7,3,7,6,5,5,7,6,4,4,3,1,5,2,1,3,3,5,3,4,5,7,7,4,4,6,6,5,7,7,4,5,7,7,6,4,5,6,7,6,2,217
151,358,2,36,4,2,5,7,6,4,1,7,5,6,4,7,5,6,5,7,3,6,2,1,7,5,7,6,2,5,7,6,4,5,1,3,2,7,3,1,4,6,5,7,5,2,3,6,4,1,201
152,371,2,33,4,2,5,6,7,6,1,7,6,7,7,7,7,2,2,6,1,6,1,1,5,6,7,5,2,7,7,7,6,7,2,1,1,7,2,1,3,7,7,6,4,2,2,7,6,2,204
153,259,1,37,4,2,3,5,3,5,5,7,5,6,6,6,6,3,3,3,3,3,3,1,3,3,2,5,2,3,3,5,2,2,5,5,5,7,3,3,3,5,6,6,3,3,5,3,3,3,174
154,267,1,30,4,2,6,6,7,6,2,7,6,7,6,6,6,4,5,6,3,6,3,1,5,5,6,4,3,6,6,7,6,4,4,4,4,7,6,6,6,6,6,6,4,4,5,6,6,4,229
155,267,2,18,3,1,3,6,6,2,1,7,5,1,6,7,7,1,7,1,2,4,2,1,6,4,6,2,1,1,2,4,2,1,6,7,6,7,2,4,5,3,6,6,7,7,7,6,7,3,187
157,300,1,26,4,2,4,5,5,4,3,7,4,5,5,4,6,2,5,2,3,3,4,1,2,4,3,6,4,4,3,4,3,2,6,5,6,7,5,6,5,5,6,5,3,3,2,6,5,3,185
158,219,2,28,4,2,3,7,6,3,5,7,3,6,7,5,6,3,2,2,1,5,2,1,2,3,2,3,2,5,6,7,4,5,2,3,2,7,5,6,5,7,5,6,2,1,3,5,4,2,178
159,247,1,33,3,2,7,6,3,3,6,7,3,6,5,6,7,6,5,6,4,3,3,1,5,4,5,4,3,5,6,6,6,4,3,3,2,7,3,3,3,5,6,6,6,4,6,3,2,3,200
161,202,2,25,4,1,4,3,5,4,3,7,4,5,3,5,6,4,5,2,4,2,3,1,2,1,3,4,2,4,2,5,7,2,1,3,2,7,4,3,2,4,3,5,3,5,6,4,3,4,161
162,268,2,19,3,1,2,5,6,5,3,7,4,5,6,6,7,5,4,3,6,2,6,1,2,1,2,7,5,2,2,4,3,1,6,4,7,7,7,5,6,3,4,2,6,5,7,3,4,5,193
164,284,1,30,4,2,2,4,5,4,5,7,3,4,4,3,4,5,3,3,2,4,3,1,4,4,4,3,3,3,5,5,6,4,4,3,3,7,5,5,5,3,3,3,5,3,4,4,4,3,171
165,226,1,30,4,2,6,7,6,7,4,7,6,7,6,7,6,5,5,6,4,5,4,1,5,6,7,5,6,5,6,7,6,5,6,7,6,7,5,6,7,5,6,7,6,3,5,6,6,2,247
166,411,2,36,4,2,7,6,7,6,5,7,4,6,5,4,3,2,4,6,1,4,2,1,4,3,3,5,2,4,3,6,7,1,7,6,4,7,5,7,6,5,7,6,4,3,2,6,7,4,204
167,236,2,32,4,2,3,2,1,2,7,7,2,4,3,2,1,3,3,1,2,3,2,1,3,2,3,4,3,4,3,3,2,4,4,5,6,7,4,3,4,5,6,4,5,6,6,4,3,4,156
168,562,2,21,4,1,4,6,7,6,2,7,5,6,7,6,7,2,7,1,2,1,5,1,1,2,3,2,1,2,1,3,1,1,6,6,7,7,2,2,5,6,5,6,5,6,7,6,5,3,183
169,276,1,24,5,2,3,4,6,5,6,7,6,5,5,6,4,4,5,6,3,5,2,1,4,4,3,6,5,4,5,6,3,2,5,6,5,7,5,6,5,7,6,6,4,5,6,7,7,3,215
170,239,2,24,4,2,6,5,6,4,6,7,5,5,4,5,6,5,6,5,6,5,6,1,3,4,5,6,4,6,5,4,2,6,5,5,6,7,5,4,5,7,5,4,5,6,6,6,7,1,222
171,481,1,35,4,2,5,3,4,5,6,7,2,4,6,5,6,3,2,3,1,5,2,1,6,4,5,3,2,5,3,6,2,5,2,3,2,7,6,5,6,5,7,6,2,3,2,6,5,3,181
172,677,1,55,2,2,5,6,6,7,4,7,5,5,7,6,5,6,3,1,3,3,4,1,4,2,4,4,5,2,4,3,5,1,4,4,5,7,5,4,5,5,5,4,5,3,3,3,5,6,191
